POLL_PLACE_ID,JURISDICTION,COUNTY_NAME,ED_PRECINCT,POLL_NAME,POLL_ADDRESS1,CITY,STATE,ZIP,LEGISLATIVE_SUB_DISTRICT_CODE,SENATORIAL_DISTRICT_CODE,CONGRESSIONAL_DISTRICT_CODE,JUDICIAL_DISTRICT_CODE,APPELLATE_DISTRICT_CODE,COUNCILMANIC_DISTRICT_CODE,COMMISSIONER_DISTRICT_CODE,SCHOOL_DISTRICT_CODE,ORPHAN_DISTRICT_CODE,ELECTION_DISTRICT_CODE,MUNICIPAL_DISTRICT_CODE,BUILDING_TYPE,COLLEGE_NEARBY,COLLEGE_NAME,IS_EARLY_VOTING,Column1
1000017,1,Allegany County,9000,BARTON COUNCIL CHAMBER,"19018 LEGISLATIVE ROAD, SW",BARTON,MD,21521,,,,,,,,,,,,OTHER,0,,0,
1000018,1,Allegany County,10000,WESTMAR MIDDLE SCHOOL GYM,"16915 LOWER GEORGES CREEK ROAD, SW",LONACONING,MD,21539,,,,,,,,,,,,SCHOOL,0,,0,
1000019,1,Allegany County,11000,FROST ELEMENTARY SCHOOL,260 SHAW STREET,FROSTBURG,MD,21532,,,,,,,,,,,,SCHOOL,0,,0,
750001035,1,Allegany County,12000,MOUNTAIN RIDGE HIGH SCHOOL GYM,100 DR. NANCY S. GRASMICK LANE,FROSTBURG,MD,21532,,,,,,,,,,,,SCHOOL,0,,0,
1000021,1,Allegany County,13000,MT. SAVAGE SCHOOL,"13201 NEW SCHOOL ROAD, NW",MT. SAVAGE,MD,21545,,,,,,,,,,,,SCHOOL,0,,0,
750001168,1,Allegany County,14000,BRADDOCK MIDDLE SCHOOL,909 HOLLAND STREET,CUMBERLAND,MD,21502,,,,,,,,,,,,SCHOOL,0,,0,
750000370,1,Allegany County,16001,DEPARTMENT OF EMERGENCY SERVICES,11400 PPG ROAD SE,CUMBERLAND,MD,21502,,,,,,,,,,,,OTHER,0,,0,
750000370,1,Allegany County,16002,DEPARTMENT OF EMERGENCY SERVICES,11400 PPG ROAD SE,CUMBERLAND,MD,21502,,,,,,,,,,,,OTHER,0,,0,
750001033,1,Allegany County,18000,MIDLAND FIRE HALL,14823 BROADWAY AVE SW,MIDLAND,MD,21532,,,,,,,,,,,,FIRE STATION,0,,0,
750000142,1,Allegany County,20000,ELLERSLIE VOLUNTEER FIRE DEPARTMENT,14200 ELLERSLIE ROAD NW,ELLERSLIE,MD,21529,,,,,,,,,,,,FIRE STATION,0,,0,
1000026,1,Allegany County,21000,BALTIMORE PIKE VOL. FIRE DEPT.,"15010 BALTIMORE PIKE, NE",CUMBERLAND,MD,21502,,,,,,,,,,,,FIRE STATION,0,,0,
750000398,1,Allegany County,22000,ALLEGANY COLLEGE OF MARYLAND,"12401 WILLOWBROOK RD SE, CE RM 14",CUMBERLAND,MD,21502,,,,,,,,,,,,SCHOOL,1,Allegany College of Maryland,0,
1000028,1,Allegany County,23000,ST. LUKES LUTHERAN CHURCH,1601 FREDERICK STREET,CUMBERLAND,MD,21502,,,,,,,,,,,,CHURCH,0,,0,
1000029,1,Allegany County,24000,ECKHART SCHOOL,"17000 NATIONAL HIGHWAY, SW",ECKHART,MD,21528,,,,,,,,,,,,SCHOOL,0,,0,
1000030,1,Allegany County,26000,FROSTBURG COMMUNITY CENTER,27 WATER STREET,FROSTBURG,MD,21532,,,,,,,,,,,,COMMUNITY CENTER,1,Frostburg State University,0,
1000031,1,Allegany County,29001,LAVALE VOL. FIRE DEPART #1,421 NATIONAL HIGHWAY,LAVALE,MD,21502,,,,,,,,,,,,FIRE STATION,0,,0,
1000032,1,Allegany County,29002,PARKSIDE ELEMENTARY SCHOOL,50 PARKSIDE BLVD.,LAVALE,MD,21502,,,,,,,,,,,,SCHOOL,0,,0,
1000033,1,Allegany County,29003,CHRIST LUTHERAN CHURCH,1222 VOCKE RD,LAVALE,MD,21502,,,,,,,,,,,,CHURCH,0,,0,
1000035,1,Allegany County,31000,DANVILLE COMMUNITY CHURCH,"18800 MIDDLE RIDGE ROAD, SW",RAWLINGS,MD,21557,,,,,,,,,,,,CHURCH,0,,0,
1000034,1,Allegany County,34000,BEDFORD RD. FIRE DEPARTMENT,13200 BEDFORD RD. NE,CUMBERLAND,MD,21502,,,,,,,,,,,,FIRE STATION,0,,0,
750000059,1,Allegany County,,EV01 ALLEGANY COUNTY OFFICE COMPLEX,701 KELLY RD RM 100,CUMBERLAND,MD,21502,,,,,,,,,,,,OTHER,0,,1,
2000073,2,Anne Arundel County,1001,LINTHICUM ES,101 SCHOOL LANE,LINTHICUM,MD,21090,32,32,3,5,5,1,,,,1,,SCHOOL,0,,0,
2000072,2,Anne Arundel County,1002,LINDALE MS,415 ANDOVER ROAD,LINTHICUM,MD,21090,32,32,3,5,5,1,,,,1,,SCHOOL,0,,0,
2000059,2,Anne Arundel County,1003,NORTH COUNTY HS,10 1ST AVENUE EAST,GLEN BURNIE,MD,21061,32,32,3,5,5,1,,,,1,,SCHOOL,0,,0,
500000701,2,Anne Arundel County,1004,BROOKLYN PARK MS,200 HAMMONDS LANE,BALTIMORE,MD,21225,12B,12,3,5,5,1,,,,1,,SCHOOL,0,,0,
500000295,2,Anne Arundel County,1005,HEBRON-HARMAN ES,7660 RIDGE CHAPEL ROAD,HANOVER,MD,21076,32,32,3,5,5,1,,,,1,,SCHOOL,0,,0,
750001173,2,Anne Arundel County,1006,THE GATHERING FAITH COMMUNITY CHURCH,1320 DORSEY RD,HANOVER,MD,21076,32,32,3,5,5,1,,,,1,,CHURCH,0,,0,
2000099,2,Anne Arundel County,1007,OVERLOOK ES,401 HAMPTON ROAD,LINTHICUM,MD,21090,12B,12,3,5,5,1,,,,1,,SCHOOL,0,,0,
2000059,2,Anne Arundel County,1008,NORTH COUNTY HS,10 1ST AVENUE EAST,GLEN BURNIE,MD,21061,32,32,3,5,5,1,,,,1,,SCHOOL,0,,0,
2000143,2,Anne Arundel County,1009,HILLTOP ES,415 MELROSE AVENUE,GLEN BURNIE,MD,21061,32,32,3,5,5,1,,,,1,,SCHOOL,0,,0,
2000014,2,Anne Arundel County,1010,ST. JOHN LUTHERAN CHURCH,300 MAPLE ROAD WEST,LINTHICUM,MD,21090,32,32,3,5,5,1,,,,1,,CHURCH,0,,0,
2000074,2,Anne Arundel County,1011,LINTHICUM LIBRARY,400 SHIPLEY ROAD,LINTHICUM,MD,21090,32,32,3,5,5,1,,,,1,,LIBRARY,0,,0,
2000088,2,Anne Arundel County,1012,NORTH GLEN ES,615 FURNACE BRANCH ROAD WEST,GLEN BURNIE,MD,21061,12B,12,3,5,5,1,,,,1,,SCHOOL,0,,0,
750000110,2,Anne Arundel County,1013,BELLE GROVE ES,4502 BELLE GROVE ROAD,BALTIMORE,MD,21225,12B,12,3,5,5,1,,,,1,,SCHOOL,0,,0,
750000112,2,Anne Arundel County,1014,GEORGE CROMWELL ES,221 OLEN DRIVE,GLEN BURNIE,MD,21061,32,32,3,5,5,1,,,,1,,SCHOOL,0,,0,
2000042,2,Anne Arundel County,1015,BROOKLYN PARK ES,200 14TH AVENUE,BALTIMORE,MD,21225,12B,12,3,5,5,1,,,,1,,SCHOOL,0,,0,
2000043,2,Anne Arundel County,1016,BROOKLYN PARK LIBRARY,1 11TH AVENUE EAST,BALTIMORE,MD,21225,12B,12,3,5,5,1,,,,1,,LIBRARY,0,,0,
2000100,2,Anne Arundel County,1017,PARK ES,201 11TH AVENUE EAST,BALTIMORE,MD,21225,12B,12,3,5,5,1,,,,1,,SCHOOL,0,,0,
500000701,2,Anne Arundel County,1018,BROOKLYN PARK MS,200 HAMMONDS LANE,BALTIMORE,MD,21225,12B,12,3,5,5,1,,,,1,,SCHOOL,0,,0,
750001179,2,Anne Arundel County,1019,SEVERN CENTER,1160 REECE RD,SEVERN,MD,21144,32,32,3,5,5,1,,,,1,,SENIOR CENTER,0,,0,
2000018,2,Anne Arundel County,1020,VAN BOKKELEN ES,1140 REECE ROAD,SEVERN,MD,21144,32,32,3,5,5,1,,,,1,,SCHOOL,0,,0,
2000069,2,Anne Arundel County,1021,CHESAPEAKE SCIENCE POINT CS,7321 PARKWAY DRIVE SOUTH,HANOVER,MD,21076,32,32,3,5,5,1,,,,1,,SCHOOL,0,,0,
750000441,2,Anne Arundel County,1022,JESSUP ES,2798 CHAMPION FOREST AVENUE,JESSUP,MD,20794,32,32,3,5,5,1,,,,1,,SCHOOL,0,,0,
750000441,2,Anne Arundel County,1023,JESSUP ES,2798 CHAMPION FOREST AVENUE,JESSUP,MD,20794,32,32,5,5,5,1,,,,1,,SCHOOL,0,,0,
750000443,2,Anne Arundel County,1024,SEVERN ES,838 REECE ROAD,SEVERN,MD,21144,32,32,3,5,5,1,,,,1,,SCHOOL,0,,0,
750000441,2,Anne Arundel County,1025,JESSUP ES,2798 CHAMPION FOREST AVENUE,JESSUP,MD,20794,32,32,3,5,5,1,,,,1,,SCHOOL,0,,0,
750000443,2,Anne Arundel County,2001,SEVERN ES,838 REECE ROAD,SEVERN,MD,21144,31,31,3,5,5,2,,,,2,,SCHOOL,0,,0,
2000012,2,Anne Arundel County,2002,SOUTHGATE ES,290 SHETLANDS LANE,GLEN BURNIE,MD,21061,32,32,3,5,5,2,,,,2,,SCHOOL,0,,0,
2000064,2,Anne Arundel County,2003,GLEN BURNIE PARK ES,500 MARLBORO ROAD,GLEN BURNIE,MD,21061,32,32,3,5,5,2,,,,2,,SCHOOL,0,,0,
2000107,2,Anne Arundel County,2004,QUARTERFIELD ES,7967 QUARTERFIELD ROAD,SEVERN,MD,21144,32,32,3,5,5,2,,,,2,,SCHOOL,0,,0,
2000092,2,Anne Arundel County,2005,OAKWOOD ES,330 OAK MANOR DRIVE,GLEN BURNIE,MD,21061,32,32,3,5,5,2,,,,2,,SCHOOL,0,,0,
2000047,2,Anne Arundel County,2006,CORKRAN MS,7600 QUARTERFIELD ROAD,GLEN BURNIE,MD,21061,32,32,3,5,5,2,,,,2,,SCHOOL,0,,0,
2000109,2,Anne Arundel County,2007,RICHARD HENRY LEE ES,400 A STREET SW,GLEN BURNIE,MD,21061,32,32,3,5,5,2,,,,2,,SCHOOL,0,,0,
2000115,2,Anne Arundel County,2008,GLENDALE ES,105 CARROLL ROAD,GLEN BURNIE,MD,21060,12B,12,3,5,5,2,,,,2,,SCHOOL,0,,0,
2000107,2,Anne Arundel County,2009,QUARTERFIELD ES,7967 QUARTERFIELD ROAD,SEVERN,MD,21144,32,32,3,5,5,2,,,,2,,SCHOOL,0,,0,
750000114,2,Anne Arundel County,2010,POINT PLEASANT ANNEX,1450 FURNACE AVENUE,GLEN BURNIE,MD,21060,31,31,3,5,5,2,,,,2,,SCHOOL,0,,0,
2000025,2,Anne Arundel County,2011,WOODSIDE ES,160 FUNKE ROAD,GLEN BURNIE,MD,21061,31,31,3,5,5,2,,,,2,,SCHOOL,0,,0,
2000137,2,Anne Arundel County,2012,GLEN BURNIE HS,7550 BALTIMORE ANNAPOLIS BLVD,GLEN BURNIE,MD,21060,12B,12,3,5,5,2,,,,2,,,0,,0,
2000096,2,Anne Arundel County,2013,OLD MILL HS,600 PATRIOT LANE,MILLERSVILLE,MD,21108,31,31,3,5,5,2,,,,2,,SCHOOL,0,,0,
2000111,2,Anne Arundel County,2014,RIPPLING WOODS ES,530 NOLFIELD DRIVE,GLEN BURNIE,MD,21061,32,32,3,5,5,2,,,,2,,SCHOOL,0,,0,
750001189,2,Anne Arundel County,2015,OLD MILL MS NORTH,610 PATRIOT LANE,MILLERSVILLE,MD,21108,32,32,3,5,5,2,,,,2,,SCHOOL,0,,0,
2000047,2,Anne Arundel County,2016,CORKRAN MS,7600 QUARTERFIELD ROAD,GLEN BURNIE,MD,21061,32,32,3,5,5,2,,,,2,,SCHOOL,0,,0,
750001189,2,Anne Arundel County,2017,OLD MILL MS NORTH,610 PATRIOT LANE,MILLERSVILLE,MD,21108,32,32,3,5,5,2,,,,2,,SCHOOL,0,,0,
2000129,2,Anne Arundel County,2018,RUTH PARKER EASON SCHOOL,648 OLD MILL ROAD,MILLERSVILLE,MD,21108,32,32,3,5,5,2,,,,2,,SCHOOL,0,,0,
2000077,2,Anne Arundel County,2019,MARLEY ES,715 COOPER ROAD,GLEN BURNIE,MD,21060,12B,12,3,5,5,2,,,,2,,SCHOOL,0,,0,
2000169,2,Anne Arundel County,2020,GRACE OF GOD FELLOWSHIP,8302 ELVATON ROAD,MILLERSVILLE,MD,21108,31,31,3,5,5,2,,,,2,,CHURCH,0,,0,
2000122,2,Anne Arundel County,2021,HERITAGE COMMUNITY CHURCH,8146 QUARTERFIELD ROAD,SEVERN,MD,21144,31,31,3,5,5,2,,,,2,,CHURCH,0,,0,
2000104,2,Anne Arundel County,2022,POINT PLEASANT ES,1035 DUMBARTON ROAD,GLEN BURNIE,MD,21060,31,31,3,5,5,2,,,,2,,SCHOOL,0,,0,
2000110,2,Anne Arundel County,2023,RIDGEWAY ES,1440 EVERGREEN ROAD,SEVERN,MD,21144,31,31,3,5,5,2,,,,2,,SCHOOL,0,,0,
2000110,2,Anne Arundel County,2024,RIDGEWAY ES,1440 EVERGREEN ROAD,SEVERN,MD,21144,31,31,3,5,5,2,,,,2,,SCHOOL,0,,0,
500000370,2,Anne Arundel County,3001,NORTHEAST HS - CAFETERIA,1121 DUVALL HIGHWAY,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
750000115,2,Anne Arundel County,3002,RIVIERA BEACH ES,8515 JENKINS ROAD,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
750000445,2,Anne Arundel County,3003,HIGH POINT ES,7789 EDGEWOOD AVENUE,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
2000060,2,Anne Arundel County,3004,NORTHEAST MS,7922 OUTING AVENUE,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
2000060,2,Anne Arundel County,3005,NORTHEAST MS,7922 OUTING AVENUE,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
2000130,2,Anne Arundel County,3006,SOLLEY ES,7608 SOLLEY ROAD,GLEN BURNIE,MD,21060,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
2000015,2,Anne Arundel County,3007,SUNSET ES,8572 FORT SMALLWOOD ROAD,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
2000078,2,Anne Arundel County,3008,MARLEY MS,10 DAVIS COURT,GLEN BURNIE,MD,21060,12B,12,3,5,5,3,,,,3,,SCHOOL,0,,0,
2000101,2,Anne Arundel County,3009,PASADENA ES,401 PASADENA ROAD,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
2000039,2,Anne Arundel County,3010,CHESAPEAKE BAY MS - B SIDE,4804 MOUNTAIN ROAD,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
2000038,2,Anne Arundel County,3011,BODKIN ES,8320 VENTNOR ROAD,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
2000057,2,Anne Arundel County,3012,FORT SMALLWOOD ES,1720 POPLAR RIDGE ROAD,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
750000116,2,Anne Arundel County,3013,LAKE SHORE ES,4531 MOUNTAIN ROAD,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
2000078,2,Anne Arundel County,3014,MARLEY MS,10 DAVIS COURT,GLEN BURNIE,MD,21060,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
2000046,2,Anne Arundel County,3015,CHESAPEAKE HS,4798 MOUNTAIN ROAD,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
750001174,2,Anne Arundel County,3016,RIVIERA BEACH LIBRARY,1130 DUVALL HWY,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,LIBRARY,0,,0,
2000068,2,Anne Arundel County,3017,JACOBSVILLE ES,3801 MOUNTAIN ROAD,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
750000116,2,Anne Arundel County,3018,LAKE SHORE ES,4531 MOUNTAIN ROAD,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
2000057,2,Anne Arundel County,3019,FORT SMALLWOOD ES,1720 POPLAR RIDGE ROAD,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
2000055,2,Anne Arundel County,3020,EMMANUEL LUTHERAN CHURCH,8615 FORT SMALLWOOD ROAD,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,CHURCH,0,,0,
2000015,2,Anne Arundel County,3021,SUNSET ES,8572 FORT SMALLWOOD ROAD,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
750001180,2,Anne Arundel County,3022,NORTHEAST HS - GYM,1121 DUVALL HWY,PASADENA,MD,21122,31,31,3,5,5,3,,,,3,,SCHOOL,0,,0,
2000052,2,Anne Arundel County,3023,EARLEIGH HEIGHTS VFD,161 RITCHIE HWY,SEVERNA PARK,MD,21146,31,31,3,5,5,3,,,,3,,FIRE STATION,0,,0,
2000097,2,Anne Arundel County,3024,ORCHARD BEACH VFD,7549 SOLLEY ROAD,GLEN BURNIE,MD,21060,31,31,3,5,5,3,,,,3,,FIRE STATION,0,,0,
2000170,2,Anne Arundel County,3025,FREETOWN ES,7904 FREETOWN ROAD,GLEN BURNIE,MD,21060,12B,12,3,5,5,3,,,,3,,SCHOOL,0,,0,
2000079,2,Anne Arundel County,4001,MARYLAND CITY ES,3359 CRUMPTON SOUTH,LAUREL,MD,20724,32,32,5,5,5,4,,,,4,,SCHOOL,0,,0,
2000093,2,Anne Arundel County,4002,ODENTON ES,1290 ODENTON ROAD,ODENTON,MD,21113,33A,33,5,5,5,4,,,,4,,SCHOOL,0,,0,
2000033,2,Anne Arundel County,4003,ARUNDEL HS,1001 ANNAPOLIS ROAD,GAMBRILLS,MD,21054,33A,33,5,5,5,4,,,,4,,SCHOOL,0,,0,
500000498,2,Anne Arundel County,4004,MEADE HEIGHTS ES,1925 REECE ROAD,FORT MEADE,MD,20755,32,32,3,5,5,4,,,,4,,SCHOOL,0,,0,
2000021,2,Anne Arundel County,4005,PINEY ORCHARD ES,2641 STRAWBERRY LAKE WAY,ODENTON,MD,21113,33A,33,5,5,5,4,,,,4,,SCHOOL,0,,0,
750000446,2,Anne Arundel County,4006,COMMUNITY UMC,300 BROCK BRIDGE ROAD,LAUREL,MD,20724,32,32,5,5,5,4,,,,4,,CHURCH,0,,0,
2000076,2,Anne Arundel County,4007,MEADE MS,1103  26TH STREET,FORT MEADE,MD,20755,32,32,5,5,5,4,,,,4,,SCHOOL,0,,0,
2000162,2,Anne Arundel County,4008,FOUR SEASONS ES,979 WAUGH CHAPEL ROAD,GAMBRILLS,MD,21054,33A,33,5,5,5,4,,,,4,,SCHOOL,0,,0,
2000080,2,Anne Arundel County,4009,MARYLAND CITY AT RUSSETT LIBRARY,3501 RUSSETT COMMON,LAUREL,MD,20724,32,32,5,5,5,4,,,,4,,LIBRARY,0,,0,
750001082,2,Anne Arundel County,4010,TWO RIVERS CLUBHOUSE,1425 TWO RIVERS BOULEVARD,ODENTON,MD,21113,21,21,5,5,5,4,,,,4,,COMMUNITY CENTER,0,,0,
2000090,2,Anne Arundel County,4011,O'MALLEY SENIOR CENTER,1275 ODENTON ROAD,ODENTON,MD,21113,33A,33,5,5,5,4,,,,4,,SENIOR CENTER,0,,0,
750000344,2,Anne Arundel County,4012,ODENTON BAPTIST CHURCH,8410 PINEY ORCHARD PARKWAY,ODENTON,MD,21113,33A,33,5,5,5,4,,,,4,,CHURCH,0,,0,
2000148,2,Anne Arundel County,4013,BROCK BRIDGE ES,405 BROCK BRIDGE ROAD,LAUREL,MD,20724,21,21,5,5,5,4,,,,4,,SCHOOL,0,,0,
750000120,2,Anne Arundel County,4014,NANTUCKET ES,2350 NANTUCKET DRIVE,CROFTON,MD,21114,21,21,5,5,5,4,,,,4,,SCHOOL,0,,0,
750000120,2,Anne Arundel County,4015,NANTUCKET ES,2350 NANTUCKET DRIVE,CROFTON,MD,21114,33A,33,5,5,5,4,,,,4,,SCHOOL,0,,0,
2000021,2,Anne Arundel County,4016,PINEY ORCHARD ES,2641 STRAWBERRY LAKE WAY,ODENTON,MD,21113,33A,33,5,5,5,4,,,,4,,SCHOOL,0,,0,
2000148,2,Anne Arundel County,4017,BROCK BRIDGE ES,405 BROCK BRIDGE ROAD,LAUREL,MD,20724,32,32,5,5,5,4,,,,4,,SCHOOL,0,,0,
2000083,2,Anne Arundel County,4018,FAITH COMMUNITY CHURCH,1306 RIEDEL ROAD,GAMBRILLS,MD,21054,33,33,5,5,5,4,,,,4,,CHURCH,0,,0,
500000746,2,Anne Arundel County,4019,SEVEN OAKS ES,1905 TOWN CENTER BOULEVARD,ODENTON,MD,21113,33A,33,5,5,5,4,,,,4,,SCHOOL,0,,0,
750001172,2,Anne Arundel County,4020,ARK AND DOVE PRESBYTERIAN CHURCH,8424 PINEY ORCHARD PARKWAY,ODENTON,MD,21113,21,21,5,5,5,4,,,,4,,CHURCH,0,,0,
750000120,2,Anne Arundel County,4021,NANTUCKET ES,2350 NANTUCKET DRIVE,CROFTON,MD,21114,33B,33,5,5,5,4,,,,4,,SCHOOL,0,,0,
2000183,2,Anne Arundel County,4022,CROFTON LIBRARY,1681 RIEDEL ROAD,CROFTON,MD,21114,33A,33,5,5,5,4,,,,4,,LIBRARY,0,,0,
500000044,2,Anne Arundel County,4023,WAUGH CHAPEL ES,840 SUNFLOWER DRIVE,ODENTON,MD,21113,33A,33,5,5,5,4,,,,4,,SCHOOL,0,,0,
500000746,2,Anne Arundel County,4024,SEVEN OAKS ES,1905 TOWN CENTER BOULEVARD,ODENTON,MD,21113,33A,33,5,5,5,4,,,,4,,SCHOOL,0,,0,
2000166,2,Anne Arundel County,5001,ST. MARGARET'S EPISCOPAL CHURCH,1601 PLEASANT PLAINS ROAD,ANNAPOLIS,MD,21409,33C,33,3,5,5,5,,,,5,,CHURCH,0,,0,
2000136,2,Anne Arundel County,5002,CAPE ST. CLAIRE ES,931 BLUE RIDGE DRIVE,ANNAPOLIS,MD,21409,33C,33,3,5,5,5,,,,5,,SCHOOL,0,,0,
2000145,2,Anne Arundel County,5003,BROADNECK ES,470 SHORE ACRES ROAD,ARNOLD,MD,21012,33C,33,3,5,5,5,,,,5,,SCHOOL,0,,0,
2000002,2,Anne Arundel County,5004,BELVEDERE ES,360 BROADWATER ROAD,ARNOLD,MD,21012,33C,33,3,5,5,5,,,,5,,SCHOOL,0,,0,
2000070,2,Anne Arundel County,5005,JONES ES,122 HOYLE LANE,SEVERNA PARK,MD,21146,33C,33,3,5,5,5,,,,5,,SCHOOL,0,,0,
2000003,2,Anne Arundel County,5006,SEVERNA PARK ES,6 RIGGS AVENUE,SEVERNA PARK,MD,21146,33C,33,3,5,5,5,,,,5,,SCHOOL,0,,0,
2000037,2,Anne Arundel County,5007,BENFIELD ES,365 LYNWOOD DRIVE,SEVERNA PARK,MD,21146,31,31,3,5,5,5,,,,5,,SCHOOL,0,,0,
2000091,2,Anne Arundel County,5008,OAK HILL ES,34 TRUCK HOUSE ROAD,SEVERNA PARK,MD,21146,31,31,3,5,5,5,,,,5,,SCHOOL,0,,0,
750000191,2,Anne Arundel County,5009,FOLGER MCKINSEY ES,175 ARUNDEL BEACH ROAD,SEVERNA PARK,MD,21146,31,31,3,5,5,5,,,,5,,SCHOOL,0,,0,
750000191,2,Anne Arundel County,5010,FOLGER MCKINSEY ES,175 ARUNDEL BEACH ROAD,SEVERNA PARK,MD,21146,31,31,3,5,5,5,,,,5,,SCHOOL,0,,0,
500000749,2,Anne Arundel County,5011,MAGOTHY RIVER MS,241 PENINSULA FARM ROAD,ARNOLD,MD,21012,33C,33,3,5,5,5,,,,5,,SCHOOL,0,,0,
2000004,2,Anne Arundel County,5012,SEVERNA PARK HS,60 ROBINSON ROAD,SEVERNA PARK,MD,21146,33C,33,3,5,5,5,,,,5,,SCHOOL,0,,0,
2000145,2,Anne Arundel County,5013,BROADNECK ES,470 SHORE ACRES ROAD,ARNOLD,MD,21012,33C,33,3,5,5,5,,,,5,,SCHOOL,0,,0,
2000005,2,Anne Arundel County,5014,SEVERNA PARK LIBRARY,45 W MCKINSEY ROAD,SEVERNA PARK,MD,21146,31,31,3,5,5,5,,,,5,,LIBRARY,0,,0,
2000007,2,Anne Arundel County,5015,SHIPLEY'S CHOICE ES,310 GOVERNOR WILLIAM STONE PARKWAY,MILLERSVILLE,MD,21108,31,31,3,5,5,5,,,,5,,SCHOOL,0,,0,
750000123,2,Anne Arundel County,5016,SEVERN RIVER MS,241 PENINSULA FARM ROAD,ARNOLD,MD,21012,33C,33,3,5,5,5,,,,5,,SCHOOL,0,,0,
2000044,2,Anne Arundel County,5017,CAPE ST. CLAIRE IMPROVEMENT ASSOC.,1223 RIVER BAY ROAD,ANNAPOLIS,MD,21409,33C,33,3,5,5,5,,,,5,,COMMUNITY CENTER,0,,0,
